Unnamed: 0,uf,cod_municipio,municipio,cnpj,farmacia,endereco,bairro,data_credenciamento,tem_numero,geocode_status,endereco_completo,lat,lng
,AC,1200104,BRASILEIA,04.521.258/0007-80,J CRUZ LTDA,AVE MANOEL MARINHO MONTE 1136,TRES BOTEQUINS,2023-08-11 00:00:00,True,pendente,"AVE MANOEL MARINHO MONTE 1136, TRES BOTEQUINS, BRASILEIA, AC, Brasil",,
,AC,1200104,BRASILEIA,06.626.253/0456-86,EMPREENDIMENTOS PAGUE MENOS S/A,AVE DOUTOR MANOEL MARINHO MONTE 801,BOTEQUINS,2013-11-14 00:00:00,True,pendente,"AVE DOUTOR MANOEL MARINHO MONTE 801, BOTEQUINS, BRASILEIA, AC, Brasil",,
,AC,1200203,CRUZEIRO DO SUL,06.011.700/0001-68,H. R. LIMA,AVE CEL. MANCIO LIMA 169,CENTRO,2015-10-28 00:00:00,True,pendente,"AVE CEL. MANCIO LIMA 169, CENTRO, CRUZEIRO DO SUL, AC, Brasil",,
,AC,1200203,CRUZEIRO DO SUL,06.626.253/0522-08,EMPREENDIMENTOS PAGUE MENOS S/A,AVE CORONEL MANCIO LIMA 421,BAIXA,2013-11-14 00:00:00,True,pendente,"AVE CORONEL MANCIO LIMA 421, BAIXA, CRUZEIRO DO SUL, AC, Brasil",,
,AC,1200252,EPITACIOLANDIA,04.521.258/0028-04,J CRUZ LTDA,AVE SANTOS DUMONT 315,CENTRO,2023-08-11 00:00:00,True,pendente,"AVE SANTOS DUMONT 315, CENTRO, EPITACIOLANDIA, AC, Brasil",,
,AC,1200252,EPITACIOLANDIA,14.351.621/0001-24,MARIA DA SILVA FREITAS,SANTOS DUMONT,CENTRO,2023-08-11 00:00:00,False,sem_numero,"SANTOS DUMONT, CENTRO, EPITACIOLANDIA, AC, Brasil",,
,AC,1200336,MANCIO LIMA,18.731.379/0001-75,R. LUCAS DA SILVA,"AV JAPIIM, N°1036",CENTRO,2023-10-30 00:00:00,True,pendente,"AV JAPIIM, N°1036, CENTRO, MANCIO LIMA, AC, Brasil",,
,AC,1200385,PLACIDO DE CASTRO,04.509.006/0001-40,SERGIO CARLOS VIEIRA,EPITACIO PESSOA 500,CENTRO,2014-05-13 00:00:00,True,pendente,"EPITACIO PESSOA 500, CENTRO, PLACIDO DE CASTRO, AC, Brasil",,
,AC,1200807,PORTO ACRE,41.829.764/0001-71,VIDA E SAUDE COMERCIO & DISTRIBUICAO LTDA,JOAO BARBUDO,VILA DO INCRA,2025-05-26 00:00:00,False,sem_numero,"JOAO BARBUDO, VILA DO INCRA, PORTO ACRE, AC, Brasil",,
,AC,1200401,RIO BRANCO,04.521.258/0001-94,J CRUZ LTDA,AV CEARA 952,CERAMICA,2014-03-13 00:00:00,True,pendente,"AV CEARA 952, CERAMICA, RIO BRANCO, AC, Brasil",,
